ResultID,Positive,SourceStr,TargetString,AbsenceSpaceInXmlTagEnd,attributeValueFromVirtualPlaceholder,BiDiCultures,commentSuggestsFunctionName,commentSuggestsLocaleSensitiveResource,commentSuggestsLocalizabilityRestriction,containsDateTimeFormatPatern,containsEmailAddress,containsFunctionCall,containsGlink,containsLetter,containsNumberOrPlaceholder,containsTime,containsURL,containsURLBeforeContext,containsURLInContext,containsURLSurroundByPlaceholder,containsURLWithAtag,containsURLWithPlaceholder,containsXmlLikeTag,containsXmlLikeTagEnd,contosoEmailAddress,CorrepondNoiseBracketsInTarget,cssAttributeDetector,delCharacterDetector,DetectFirstLetter,domainEmailAddress,doubleQuotesDetector,EAHotkey,emptyString,EmptyStringIndoubleQuotesDetector,EntireLocLockBinaryLockPattern,ErrorWords,EscapseCharactersHotkey,exampleEmailAddress,extractLCIDs,extractLLCCs,extraSlash,farEastHotkeyDetector,FileFilterString,FilteredOutProtectedString,FilterNoisePairing,ForbiddenByDev,GUID,hotkeyDetector,htmlAttributeDetector,htmlAttributeDetectorAsAWhole,htmlSpecialCharacterDetector,htmlTagDetector,IgnoreCommentsCategory,ignoredHtmlAttribute,ignoredHtmlAttributeForBiDi,ignoredUnLocalizableAttributeValue,ignoreSymbol,InvalidChars,IOSPlaceholderProtection,isFileFilter,isFileName,isFilePath,isProductNameToken,isStartWithFileExtension,isStartWithOrderWithBraces,largeNumberSeperator,lastLetterIsPunctuaion,lastPluralization,letterWord,lineBreakerDetector,LineFeed,LocalShortCutDetector,matchWordCount,mydomainEmailAddress,NoiseBracketsPlaceholders,noiseHtmlTagDetector,NoisePairForInconsistentPairing,NoiseStrForTranslationOrNot,NoiseStringForSpellerRule,NoiseTokenForSpellerRule,nonStandardPlaceholder,NormalCUltureName,NormalDomainName,numberString,ottmessagePlaceholder,percentageString,PickOutNumberString,placeHolderDetector,pluralization,residSuggestsLocaleSensitiveResource,singleWord,sourceIsPureNumber,spaceDetector,specialCharactersOnly,specialPlaceholderFormat,specialPlaceholderValue,SpecifyContainerForNotLocalized,squareBracketLink,StringLockedPattern,trailingSpaceDetector,virtualPlaceholderWithAttributeValue,xmlTagDetector
200,0,Windows 2000 Administration Tools are incompatible with this version of Windows. Install the Windows Server 2003 Administration Tools Pack. Adminpak.msi is located in the \i386 directory of the Windows Server 2003 CD.,"Die Windows 2000-Verwaltungsprogramme sind inkompatibel mit dieser Windows-Version. Installieren Sie die Windows Server 2003-Verwaltungsprogramme. Die Datei ""adminpak.msi"" befindet sich im Verzeichnis ""\i386"" der Windows Server 2003-CD.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,0,SQL Server 2000,SQL-Server 2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,0,Double Anti-Spy,Double Anti-Spy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
251,0,Norton Internet Security 2009,Norton Internet Security 2009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,0,Norton Internet Security 2011,Norton Internet Security 2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
296,0,Learn To Speak Spanish,Learn To Speak Spanish,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301,0,Learning Quickbooks 2011,Learning Quickbooks 2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,0,MyInvoices and Estimates Deluxe,MyInvoices and Estimates Deluxe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
316,0,Skype Technologies S.A.,Skype Technologies S.A.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
327,0,Sandboxie L.T.D,Sandboxie L.T.D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
